time, y1obs, y2obs, y3obs, last
0.000000000000000000e+00,1.030000000000000027e+00,2.999999999999999889e-02,1.000000000000000021e-02,0.000000000000000000e+00
2.040816326530612290e-01,1.101375161638257216e+00,1.130772827610841275e-01,3.155845762633775753e-02,0.000000000000000000e+00
4.081632653061224580e-01,1.253477597567989932e+00,2.759087472829977461e-01,9.362439289847163115e-02,0.000000000000000000e+00
6.122448979591836871e-01,1.476581224745469934e+00,5.085980829136197423e-01,1.912156552619770633e-01,0.000000000000000000e+00
8.163265306122449161e-01,1.758969741079172255e+00,7.991902851225090032e-01,3.183172866260877143e-01,0.000000000000000000e+00
1.020408163265306145e+00,2.089353243895393675e+00,1.136096754035365475e+00,4.690928442785106123e-01,0.000000000000000000e+00
1.224489795918367374e+00,2.458080179003978571e+00,1.509314093975764770e+00,6.384927569251118706e-01,0.000000000000000000e+00
1.428571428571428603e+00,2.857421194030209222e+00,1.910711878714596246e+00,8.223972947587391280e-01,0.000000000000000000e+00
1.632653061224489832e+00,3.281406826844444513e+00,2.333870671126734742e+00,1.017534728674323485e+00,0.000000000000000000e+00
1.836734693877551061e+00,3.725532704307526810e+00,2.773783541480299153e+00,1.221331222721266707e+00,0.000000000000000000e+00
2.040816326530612290e+00,4.186473449475215602e+00,3.226561741377569348e+00,1.431762702628095907e+00,0.000000000000000000e+00
2.244897959183673741e+00,4.661851657195584586e+00,3.689189985556146301e+00,1.647231328186139487e+00,0.000000000000000000e+00
2.448979591836734748e+00,5.150068983348008445e+00,4.159336974887346550e+00,1.866469266041617114e+00,0.000000000000000000e+00
2.653061224489795755e+00,5.650193872025334407e+00,4.635213614990426834e+00,2.088465839345062136e+00,0.000000000000000000e+00
2.857142857142857206e+00,6.161899579103300439e+00,5.115469619454828809e+00,2.312413196131690274e+00,0.000000000000000000e+00
3.061224489795918657e+00,6.685447095154878561e+00,5.599119509098647640e+00,2.537665743739056623e+00,0.000000000000000000e+00
3.265306122448979664e+00,7.221711368034624989e+00,6.085492347325590856e+00,2.763710181334520843e+00,0.000000000000000000e+00
3.469387755102040671e+00,7.772248203619421147e+00,6.574200629889448422e+00,2.990143440112844164e+00,0.000000000000000000e+00
3.673469387755102122e+00,8.339393376216026610e+00,7.065125513847541505e+00,3.216656770588959269e+00,0.000000000000000000e+00
3.877551020408163573e+00,8.926359235880088505e+00,7.558415776421134602e+00,3.443024622480205466e+00,0.000000000000000000e+00
4.081632653061224580e+00,9.537234167032506704e+00,8.054496605299945600e+00,3.669097551854404227e+00,0.000000000000000000e+00
4.285714285714285587e+00,1.017665182762002196e+01,8.554078099450846295e+00,3.894798202225181250e+00,0.000000000000000000e+00
4.489795918367347483e+00,1.084870010334211266e+01,9.058140264211836268e+00,4.120119209080424838e+00,0.000000000000000000e+00
4.693877551020408490e+00,1.155461679521950202e+01,9.567851553396016229e+00,4.345120773395970026e+00,0.000000000000000000e+00
4.897959183673469497e+00,1.228971106303812100e+01,1.008437277207017324e+01,4.569924086882996228e+00,0.000000000000000000e+00
5.102040816326530503e+00,1.304209094773238853e+01,1.060855787761401103e+01,4.794696240789423136e+00,0.000000000000000000e+00
5.306122448979591510e+00,1.379625099377047270e+01,1.114069522346652974e+01,5.019625694373996971e+00,0.000000000000000000e+00
5.510204081632653406e+00,1.453972569737223708e+01,1.168047733790406184e+01,5.244894614368786456e+00,0.000000000000000000e+00
5.714285714285714413e+00,1.526691363987715633e+01,1.222720917344159375e+01,5.470658164573273474e+00,0.000000000000000000e+00
5.918367346938775420e+00,1.597809555489582678e+01,1.278007802492300549e+01,5.697036043799020177e+00,0.000000000000000000e+00
6.122448979591837315e+00,1.667655365682666257e+01,1.333833831053755858e+01,5.924114132719695114e+00,0.000000000000000000e+00
6.326530612244898322e+00,1.736635581968325681e+01,1.390138988214990334e+01,6.151951161077397146e+00,0.000000000000000000e+00
